"key","en","de"
"stats.mvn.col.statistic","Statistic",""
"stats.mvn.col.test","Test",""
"stats.mvn.hint.label","Hint:",""
"stats.mvn.normtests.title","Normality tests:",""
"stats.mvn.plot.title","Multivariate plot:",""
"stats.mvn.plottype.label","Choose the type of Plot:",""
"stats.mvn.recommend","It is thus recommended to continue with the %s estimator.",""
"stats.mvn.result.nonnormal","At least one of the hypotheses that Mardia's Skewness statistic or Mardias' Kurtosis statistic matches one of a normal distribution has to be discarded on a significance level of %s. Test result:",""
"stats.mvn.result.normal","The hypotheses that Mardia's Skewness statistic and Mardias' Kurtosis statistic match those of a normal distribution can be maintained on a significance level of %s. Test result:",""
"stats.mvn.siglvl.label","Enter the significance level for the tests:",""
"stats.mvn.title","Test on multivariate normality",""
"stats.mvn.univ.title","Tests on univariate normality:",""
"stats.nav","3. Statistics",""
"stats.nav.correlation","Correlational Analysis",""
"stats.scatter.title","Scatter plot:",""
"stats.select.abscissa","Select item on the abscissa:",""
"stats.select.groups","Select the groups to include:",""
"stats.select.ordinate","Select item on the ordinate:",""
"stats.test.result","Test result:",""
"subset.fiml.checkbox","Use Full Information Maximum Likelihood (FIML) for all analyses in lavaan",""
"subset.fiml.warning","WARNING: Not using FIML in the presence of missing values implies listwise deletion in lavaan. This is only valid if the data are missing completely at random (MCAR) and reduces statistical power.",""
"subset.groupcol.count","possible group column(s) found",""
"subset.groupcol.label","2b. Select the group column:",""
"subset.groupcol.none","No group column selected.",""
"subset.groups.invalid","Invalid groups found.",""
"subset.groups.label","2c. Select which groups to include",""
"subset.groups.one.obs","There are groups with only one observation, you might have selected an item as group column.",""
"subset.items.count","possible item column(s) found",""
"subset.items.label","2a. Select the item columns:",""
"subset.items.none","No item selected. No analysis possible.",""
"subset.items.only.one","Only one item selected. No analysis possible.",""
"subset.items.only.three","Only three items selected. Unable to test the τ-kongeneric model.",""
"subset.items.only.two","Only two items selected. Unable to test the τ-kongeneric and the ess. τ-equivalent model.",""
"subset.missing.label","2c. Choose how to handle missing values:",""
"subset.na.col.header","NAs",""
"subset.na.percol.title","Missing values per column:",""
"subset.na.removed.note","For all plots and the multivariate normality analyses rows with missing values have been removed.",""
"subset.na.rows.note","rows with missing values in this subset",""
"subset.nav","2. Subset selection",""
"subset.obs.complete","Complete",""
